Euphorbia segetalis
Euphorbia serrata
Euphorbia terracina
Fallopia convolvulus
Fedia cornucopiae
Ferula communis
Festuca rubra
Filago lutescens
Filago pyramidata
Filipendula ulmaria
Filipendula vulgaris
Foeniculum vulgare
Fragaria vesca
Frankenia laevis
Frankenia pulverulenta
Fritillaria lusitanica
Fumaria agraria
Fumaria bastardii
Fumaria capreolata
Fumaria densiflora
Fumaria muralis
Fumaria officinalis
Fumaria parviflora
Gagea bohemica
Gagea pratensis
Galega officinalis
Galeopsis tetrahit
Galinsoga parviflora
Galinsoga quadriradiata
Galium aparine
Galium glaucum
Galium lucidum
Galium mollugo
Galium murale
Galium palustre
Galium parisiense
Galium rotundifolium
Galium saxatile
Galium tricornutum
Galium verrucosum
Galium verum
Gamochaeta pensylvanica
Gaudinia fragilis
Gazania rigens
Gennaria diphylla
Gentiana lutea
Gentiana pneumonanthe
Geranium columbinum
Geranium dissectum
Geranium lucidum
Geranium molle
Geranium purpureum
Geranium pusillum
Geranium pyrenaicum
Geranium robertianum
Geranium rotundifolium
Geranium sanguineum
Geum sylvaticum
Geum urbanum
Gladiolus illyricus
Gladiolus italicus
Glaucium corniculatum
Glaucium flavum
Glechoma hederacea
Globularia vulgaris
Glyceria declinata
Glyceria fluitans
Glycyrrhiza glabra
Gnaphalium uliginosum
Gratiola officinalis
Groenlandia densa
Gymnadenia conopsea
Haplophyllum linifolium
Hedera hibernica
Helianthemum aegyptiacum
Helianthemum cinereum
Helianthemum hirtum
Helianthemum ledifolium
Helianthemum nummularium
Helianthemum salicifolium
Helianthus annuus
Helichrysum foetidum
Heliotropium curassavicum
Heliotropium europaeum
Helleborus foetidus
Heracleum sphondylium
Herniaria cinerea
Herniaria glabra
Hesperis laciniata
Hieracium amplexicaule
Hieracium lachenalii
Hieracium laevigatum
Hieracium murorum
Hieracium sabaudum
Hieracium umbellatum
Hippocrepis biflora
Hippocrepis ciliata
Hirschfeldia incana
Hispidella hispanica
Holcus lanatus
Holcus mollis
Holosteum umbellatum
Honckenya peploides
Hordeum geniculatum
Hordeum marinum
Hordeum murinum
Hordeum secalinum
Hornungia petraea
Humulus lupulus
Hyacinthoides hispanica
Hyacinthoides non-scripta
Hydrocotyle bonariensis
Hydrocotyle vulgaris
Hyoscyamus albus
Hyoscyamus niger
Hyparrhenia hirta
Hypecoum imberbe
Hypericum elodes
Hypericum humifusum
Hypericum linariifolium
Hypericum montanum
Hypericum perfoliatum
Hypericum perforatum
Hypericum pulchrum
Hypericum tomentosum
Hypochaeris glabra
Hypochaeris radicata
Iberis ciliata
Iberis procumbens
Illecebrum verticillatum
Inula montana
Inula salicina
Ipomoea indica
Ipomoea purpurea
Iris albicans
Iris foetidissima
Iris germanica
Iris planifolia
Iris pseudacorus
Iris xiphium
Isatis tinctoria
Isolepis fluitans
Isolepis setacea
Jasione crispa
Jasione laevis
Jasione maritima
Jasione montana
Jasonia tuberosa
Juncus acutiflorus
Juncus acutus
Juncus articulatus
Juncus bufonius
Juncus bulbosus
Juncus capitatus
Juncus conglomeratus
Juncus effusus
Juncus hybridus
Juncus inflexus
Juncus maritimus
Juncus pygmaeus
Juncus ranarius
Juncus squarrosus
Juncus subnodulosus
Juncus tenageia
Juncus tenuis
Jurinea humilis
Kickxia elatine
Kickxia lanigera
Kickxia spuria
Klasea flavescens
Knautia nevadensis
Koeleria vallesiana
Kundmannia sicula
Lactuca saligna
Lactuca serriola
Lactuca viminea
Lactuca virosa
Lagoecia cuminoides
Lagurus ovatus
Lamarckia aurea
Lamium amplexicaule
Lamium bifidum
Lamium maculatum
Lamium purpureum
Lapsana communis
Lathyrus angulatus
Lathyrus annuus
Lathyrus aphaca
Lathyrus cicera
Lathyrus clymenum
Lathyrus hirsutus
Lathyrus latifolius
Lathyrus linifolius
Lathyrus niger
Lathyrus nissolia
Lathyrus ochrus
Lathyrus odoratus
Lathyrus pratensis
Lathyrus setifolius
Lathyrus sphaericus
Lathyrus sylvestris
Lathyrus tingitanus
Leersia oryzoides
Legousia hybrida
Lemna gibba
Lemna minor
Lemna minuta
Leontodon hispidus
Leontodon tuberosus
Lepidium graminifolium
Lepidium heterophyllum
Lepidium latifolium
Lepidium ruderale
Lepidium sativum
Lepidium virginicum
Lepidophorum repandum
Leucanthemum ircutianum
Leucanthemum vulgare
Lilium martagon
Limodorum abortivum
Limodorum trabutianum
Limonium echioides
Limonium sinuatum
Limonium virgatum
Limonium vulgare
Linaria aeruginea
Linaria amethystea
Linaria elegans
Linaria hirta
Linaria incarnata
Linaria micrantha
Linaria polygalifolia
Linaria ricardoi
Linaria saxatilis
Linaria spartea
Linaria supina
Linaria triornithophora
Lindernia dubia
Linum austriacum
Linum bienne
Linum catharticum
Linum narbonense
Linum strictum
Linum trigynum
Littorella uniflora
Lobelia urens
Lobularia maritima
Logfia gallica
Logfia minima
Lolium multiflorum
Lolium perenne
Lomelosia simplex
Lomelosia stellata
Lotus corniculatus
Lotus creticus
Lotus edulis
Lotus ornithopodioides
Lotus pedunculatus
Ludwigia palustris
Lunaria annua
Lupinus angustifolius
Lupinus cosentinii
Lupinus gredensis
Lupinus hispanicus
Lupinus luteus
Luzula campestris
Luzula forsteri
Luzula multiflora
Luzula sylvatica
Lycopodiella inundata
Lycopodium clavatum
Lycopus europaeus
Lysimachia ephemerum
Lysimachia nemorum
Lysimachia vulgaris
Lythrum hyssopifolia
Lythrum junceum
Lythrum portula
Lythrum salicaria
Malcolmia littorea
Malva hispanica
Malva neglecta
Malva nicaeensis
Malva parviflora
Malva sylvestris
Malva tournefortiana
Mantisalca salmantica
Marrubium vulgare
Marsilea quadrifolia
Matthiola fruticulosa
Matthiola incana
Matthiola sinuata
Medicago arabica
Medicago falcata
Medicago littoralis
Medicago lupulina
Medicago marina
Medicago minima
Medicago orbicularis
Medicago polymorpha
Medicago rigidula
Medicago sativa
Medicago truncatula
Melampyrum pratense
Melica ciliata
Melica minuta
Melica uniflora
Melilotus albus
Melilotus indicus
Melilotus officinalis
Melilotus segetalis
Melissa officinalis
Melittis melissophyllum
Mentha aquatica
Mentha cervina
Mentha pulegium
Mentha suaveolens
Menyanthes trifoliata
Mercurialis perennis
Mercurialis tomentosa
Mesembryanthemum crystallinum
Mesembryanthemum nodiflorum
Mibora minima
Milium vernale
Minuartia recurva
Mirabilis jalapa
Misopates calycinum
Misopates orontium
Moehringia trinervia
Moenchia erecta
Molinia caerulea
Montia fontana
Moricandia arvensis
Muscari comosum
Muscari neglectum
Myosotis arvensis
Myosotis discolor
Myosotis laxa
Myosotis persoonii
Myosotis ramosissima
Myriophyllum alterniflorum
Myriophyllum aquaticum
Myriophyllum spicatum
Myriophyllum verticillatum
Najas marina
Najas minor
Narcissus bulbocodium
Narcissus cyclamineus
Narcissus jonquilla
Narcissus papyraceus
Narcissus pseudonarcissus
Narcissus rupicola
Narcissus serotinus
Narcissus tazetta
Narcissus triandrus
Nardus stricta
Narthecium ossifragum
Neatostema apulum
Neotinea maculata
Neottia nidus-avis
Nepeta tuberosa
Nigella damascena
Nonea vesicaria
Nothoscordum gracile
Notobasis syriaca
Nymphaea alba
Nymphoides peltata
Odontites vernus
Odontites viscosus
Oenanthe crocata
Oenanthe fistulosa
Oenanthe globulosa
Oenanthe lachenalii
Oenanthe pimpinelloides
Oenothera biennis
Oenothera glazioviana
Oenothera rosea
Oenothera stricta
Omphalodes nitida
Onobrychis humilis
Onobrychis viciifolia
Ononis mitissima
Ononis natrix
Ononis pubescens
Ononis pusilla
Ononis ramosissima
Ononis reclinata
Ononis spinosa
Ononis variegata
Ononis viscosa
Onopordum acanthium
Onopordum illyricum
Onopordum nervosum
Onosma tricerosperma
Ophioglossum lusitanicum
Ophioglossum vulgatum
Ophrys apifera
Ophrys bombyliflora
Ophrys fusca
Ophrys lutea
Ophrys scolopax
Ophrys speculum
Ophrys sphegodes
Ophrys tenthredinifera
Orchis italica
Orchis mascula
Orchis morio
Orchis provincialis
Orlaya daucoides
Ornithogalum arabicum
Ornithogalum broteroi
Ornithogalum concinnum
Ornithogalum narbonense
Ornithogalum orthophyllum
Ornithogalum pyrenaicum
Ornithopus compressus
Ornithopus perpusillus
Ornithopus sativus
Orobanche crenata
Orobanche foetida
Orobanche gracilis
Orobanche hederae
Orobanche latisquama
Orobanche minor
Orobanche rapum-genistae
Osmunda regalis
Oxalis acetosella
Oxalis articulata
Oxalis corniculata
Oxalis debilis
Oxalis latifolia
Oxalis pes-caprae
Oxalis purpurea
Paeonia broteri
Paeonia officinalis
Pallenis spinosa
Pancratium maritimum
Papaver argemone
Papaver dubium
Papaver hybridum
Papaver pinnatifidum
Papaver rhoeas
Papaver somniferum
Parapholis incurva
Parapholis strigosa
Parentucellia latifolia
Parentucellia viscosa
Parietaria judaica
Paronychia argentea
Paronychia capitata
Paspalum dilatatum
Paspalum distichum
Pastinaca sativa
Pedicularis sylvatica
Pentaglottis sempervirens
Petrorhagia dubia
Petrorhagia nanteuilii
Petrorhagia saxifraga
Peucedanum officinale
Peucedanum oreoselinum
Phalaris arundinacea
Phleum arenarium
Phleum phleoides
Phleum pratense
Phlomis herba-venti
Phlomis lychnitis
Phragmites australis
Physospermum cornubiense
Phytolacca americana
Phytolacca heterotepala
Picnomon acarna
Picris hieracioides
Pilosella officinarum
Pilularia globulifera
Pimpinella major
Pimpinella villosa
Pinguicula lusitanica
Pinguicula vulgaris
Piptatherum miliaceum
Pistorinia hispanica
Plantago afra
Plantago albicans
Plantago alpina
Plantago bellardii
Plantago coronopus
Plantago lagopus
Plantago lanceolata
Plantago major
Plantago maritima
Plantago serraria
Platanthera bifolia
Platycapnos spicata
Plumbago europaea
Poa angustifolia
Poa annua
Poa bulbosa
Poa infirma
Poa nemoralis
Poa pratensis
Poa supina
Poa trivialis
Polycarpon tetraphyllum
Polygala monspeliaca
Polygala serpyllifolia
Polygala vulgaris
Polygonatum odoratum
Polygonum arenastrum
Polygonum aviculare
Polygonum equisetiforme
Polypodium cambricum
Polypodium interjectum
Polypodium vulgare
Polypogon monspeliensis
Polypogon viridis
Polystichum setiferum
Portulaca oleracea
Potamogeton coloratus
Potamogeton crispus
Potamogeton gramineus
Potamogeton lucens
Potamogeton natans
Potamogeton nodosus
Potamogeton perfoliatus
Potamogeton polygonifolius
Potamogeton pusillus
Potamogeton trichoides
Potentilla erecta
Potentilla montana
Potentilla reptans
Potentilla rupestris
Potentilla sterilis
Prangos trifida
Primula acaulis
Prunella grandiflora
Prunella laciniata
Prunella vulgaris
Pteridium aquilinum
Pteris vittata
Pterocephalidium diandrum
Pulicaria dysenterica
Pulicaria odora
Pulicaria paludosa
Pulicaria vulgaris
Pulmonaria longifolia
Pycnocomon intermedium
Pycnocomon rutifolium
Radiola linoides
Ranunculus arvensis
Ranunculus bulbosus
Ranunculus bullatus
Ranunculus bupleuroides
Ranunculus flammula
Ranunculus gramineus
Ranunculus hederaceus
Ranunculus macrophyllus
Ranunculus muricatus
Ranunculus ollissiponensis
Ranunculus ololeucos
Ranunculus omiophyllus
Ranunculus ophioglossifolius
Ranunculus paludosus
Ranunculus parviflorus
Ranunculus peltatus
Ranunculus repens
Ranunculus sceleratus
Ranunculus trichophyllus
Raphanus raphanistrum
Rapistrum rugosum
Reichardia gaditana
Reichardia intermedia
Reichardia picroides
Reseda alba
Reseda lutea
Reseda luteola
Reseda media
Reseda phyteuma
Reynoutria japonica
Rhagadiolus edulis
Rhagadiolus stellatus
Rhinanthus minor
Rhynchospora alba
Ridolfia segetum
Romulea bulbocodium
Romulea clusiana
Romulea columnae
Romulea ramiflora
Rorippa amphibia
Rorippa palustris
Rorippa pyrenaica
Rorippa sylvestris
Rostraria cristata
Rubia peregrina
Rumex acetosa
Rumex acetosella
Rumex bucephalophorus
Rumex conglomeratus
Rumex crispus
Rumex induratus
Rumex longifolius
Rumex obtusifolius
Rumex palustris
Rumex pulcher
Ruppia cirrhosa
Ruppia maritima
Ruscus aculeatus
Ruta angustifolia
Ruta chalepensis
Ruta montana
Sagina apetala
Sagina maritima
Sagina nodosa
Sagina procumbens
Sagina saginoides
Salicornia ramosissima
Salpichroa origanifolia
Salsola soda
Salvia argentea
Salvia sclarea
Salvia sclareoides
Salvia verbenaca
Salvia viridis
Sambucus ebulus
Samolus valerandi
Sanguisorba minor
Sanicula europaea
Saponaria officinalis
Saxifraga fragosoi
Saxifraga granulata
Saxifraga spathularis
Saxifraga tridactylites
Scabiosa columbaria
Scandix pecten-veneris
Schoenoplectus lacustris
Schoenoplectus litoralis
Schoenoplectus pungens
Schoenoplectus triqueter
Schoenus nigricans
Scilla monophyllos
Scilla peruviana
Scilla verna
Scirpoides holoschoenus
Scleranthus annuus
Scleranthus perennis
Scleranthus polycarpos
Scolymus hispanicus
Scolymus maculatus
Scorpiurus muricatus
Scorpiurus vermiculatus
Scorzonera angustifolia
Scorzonera humilis
Scorzonera laciniata
Scrophularia auriculata
Scrophularia canina
Scrophularia grandiflora
Scrophularia peregrina
Scrophularia sambucifolia
Scrophularia scorodonia
Scutellaria galericulata
Scutellaria minor
Sedum acre
Sedum album
Sedum andegavense
Sedum anglicum
Sedum arenarium
Sedum brevifolium
Sedum caespitosum
Sedum hirsutum
Sedum mucizonia
Sedum pedicellatum
Sedum rubens
Selaginella denticulata
Selaginella kraussiana
Senecio angulatus
Senecio doria
Senecio doronicum
Senecio gallicus
Senecio inaequidens
Senecio jacobaea
Senecio leucanthemifolius
Senecio lividus
Senecio pyrenaicus
Senecio sylvaticus
Senecio vulgaris
Serapias cordigera
Serapias lingua
Serapias parviflora
Serapias strictiflora
Serratula tinctoria
Sesamoides purpurascens
Seseli tortuosum
Setaria faberi
Setaria italica
Setaria parviflora
Setaria verticillata
Setaria viridis
Sherardia arvensis
Sideritis romana
Silene acutifolia
Silene bellidifolia
Silene ciliata
Silene colorata
Silene conica
Silene dioica
Silene fuscata
Silene gallica
Silene latifolia
Silene littorea
Silene nocturna
Silene nutans
Silene scabriflora
Silene uniflora
Silene vulgaris
Silybum marianum
Sinapis alba
